"FacilityName","FacilityPhone","GEOJSON","Reservable","FacilityStreetAddress1","FacilityStreetAddress2","City","AddressStateCode","PostalCode","CampsiteAccessible","CampsiteName","CampsiteReservable","Loop","TypeOfUse"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"061",False,"Loop E","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"021",False,"Loop B","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"067",False,"Loop E","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"072",True,"Loop E","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"044",True,"Loop C","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"017",True,"Loop B","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"019",True,"Loop B","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",False,"KG1",True,"G","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"050",True,"Loop D","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"065",True,"Loop E","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"032",True,"Loop C","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"036",True,"Loop C","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"060",True,"Loop D","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"069",True,"Loop E","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"025",True,"Loop B","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"073",True,"Loop E","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"041",True,"Loop C","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"023",False,"Loop B","Overnight"
"KAIBAB LAKE SITES AND GROUP AREAS","928-699-1239","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}",True,NULL,NULL,"WILLIAMS","AZ","86046",True,"038",True,"Loop C","Overnight"
