ActivityID,ActivityName,FacilityActivityDescription,FacilityID
6,BOATING,Boating,233957
9,CAMPING,Camping,233957
10,INTERPRETIVE PROGRAMS,Interpretive Programs,233957
11,FISHING,Fishing,233957
14,HIKING,Hiking,233957
20,PICNICKING,Picnicking,233957
26,WILDLIFE VIEWING,Wildlife Viewing,233957
32,DAY USE AREA,Day Use Area,233957
100008,CANOEING,Canoeing,233957
100043,AMPHITHEATER,Amphitheater,233957
5,BIKING,Biking,233955
6,BOATING,Boating,233955
9,CAMPING,Camping,233955
10,INTERPRETIVE PROGRAMS,Interpretive Programs,233955
11,FISHING,Fishing,233955
14,HIKING,Hiking,233955
20,PICNICKING,Picnicking,233955
26,WILDLIFE VIEWING,Wildlife Viewing,233955
32,DAY USE AREA,Day Use Area,233955
38,OTHER RECREATION CONCESSION SITE,Other Recreation Concession Site,233955
100007,KAYAKING,Kayaking,233955
9,CAMPING,Camping,251846
9,CAMPING,Camping,250019
14,HIKING,Hiking,250019
9,CAMPING,,275045
18,OFF HIGHWAY VEHICLE,,275045
23,RECREATIONAL VEHICLES,,275045
8,HISTORIC & CULTURAL SITE,Historic & Cultural Site,250901
9,CAMPING,Camping,250901
14,HIKING,Hiking,250901
20,PICNICKING,Picnicking,250901
24,VISITOR CENTER,Visitor Center,250901
28,WILDERNESS,Wilderness,250901
32,DAY USE AREA,Day Use Area,250901
104,PHOTOGRAPHY,Photography,250901
100015,STAR GAZING,Star Gazing,250901
100017,BIRDING,Birding,250901
100029,SCENIC DRIVE,Scenic Drive,250901
6,BOATING,Boating,233226
9,CAMPING,Camping,233226
11,FISHING,Fishing,233226
14,HIKING,Hiking,233226
26,WILDLIFE VIEWING,Wildlife Viewing,233226
100004,RANGER STATION,Ranger Station,233226
100005,PADDLE BOATING,Paddle Boating,233226
100006,WATER ACTIVITIES,Water Activities,233226
100007,KAYAKING,Kayaking,233226
100008,CANOEING,Canoeing,233226
6,BOATING,,261843
9,CAMPING,,261843
11,FISHING,,261843
20,PICNICKING,,261843
25,WATER SPORTS,,261843
32,DAY USE AREA,,261843
34,SWIMMING SITE,,261843
105,PADDLING,,261843
9,CAMPING,Camping,232284
11,FISHING,Fishing,232284
32,DAY USE AREA,Amphitheater,232284
8,HISTORIC & CULTURAL SITE,,202059
9,CAMPING,,202059
14,HIKING,,202059
15,HORSEBACK RIDING,,202059
16,HUNTING,,202059
20,PICNICKING,,202059
26,WILDLIFE VIEWING,,202059
32,DAY USE AREA,,202059
5,BIKING,Mountain Biking,232196
6,BOATING,Marina,232196
9,CAMPING,Camping,232196
10,INTERPRETIVE PROGRAMS,Educational Programs,232196
11,FISHING,Fishing,232196
14,HIKING,Hiking,232196
20,PICNICKING,Picnic Tables,232196
26,WILDLIFE VIEWING,Wildlife Viewing,232196
9,CAMPING,Camping,232320
11,FISHING,Fishing,232320
14,HIKING,Hiking,232320
26,WILDLIFE VIEWING,Wildlife Viewing,232320
34,SWIMMING SITE,Swimming Site,232320
104,PHOTOGRAPHY,Photography,232320
100015,STAR GAZING,Star Gazing,232320
5,BIKING,Biking,232299
11,FISHING,Fishing,232299
14,HIKING,Hiking,232299
20,PICNICKING,Picnicking,232299
104,PHOTOGRAPHY,Photography,232299
106,SWIMMING,Swimming,232299
5,BIKING,,241550
9,CAMPING,,241550
11,FISHING,,241550
14,HIKING,,241550
15,HORSEBACK RIDING,,241550
18,OFF HIGHWAY VEHICLE,,241550
20,PICNICKING,,241550
23,RECREATIONAL VEHICLES,,241550
109,HORSE CAMPING,,241550
5,BIKING,,241551
9,CAMPING,,241551
11,FISHING,,241551
14,HIKING,,241551
15,HORSEBACK RIDING,,241551
18,OFF HIGHWAY VEHICLE,"<p> </p>

<h3><strong>Maverick Trail Maps</strong></h3>

<p>PorterMtnLoop_OHV_KioskMap</p>

<p><a href=""https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/fseprd516326.pdf"" rel=""nofollow"">1_MaverickTrail_OHV_KioskMapEmerMark</a></p>

<p><a href=""https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/fseprd516327.pdf"" rel=""nofollow"">2_MaverickTrail_OHV_KioskMapEmerMark</a></p>

<p><a href=""https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/fseprd516329.pdf"" rel=""nofollow"">3_MaverickTrail_OHV_KioskMapEmerMark</a></p>

<p><a href=""https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/fseprd516330.pdf"" rel=""nofollow"">4_MaverickTrail_OHV_KioskMapEmerMark</a></p>

<p><a href=""https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/fseprd516331.pdf"" rel=""nofollow"">5_MaverickTrail_OHV_KioskMapEmerMark</a></p>
",241551
20,PICNICKING,,241551
23,RECREATIONAL VEHICLES,,241551
9,CAMPING,,264749
20,PICNICKING,"<p>
	Day use area. See site description for fees and other information.</p>
",264749
5,BIKING,Biking,234439
9,CAMPING,Camping,234439
14,HIKING,Hiking,234439
15,HORSEBACK RIDING,Horseback Riding,234439
16,HUNTING,Hunting,234439
22,WINTER SPORTS,Winter Sports,234439
26,WILDLIFE VIEWING,Wildlife Viewing,234439
100015,STAR GAZING,Star Gazing,234439
100020,CROSS COUNTRY SKIING,Cross Country Skiing,234439
100046,SNOWSHOEING,Snowshoeing,234439
9,CAMPING,Camping,270420
26,WILDLIFE VIEWING,Wildlife Viewing,270420
5,BIKING,"<p>
	All designated trails in the Lynx Lake Recreation area accomodate mountain bikers.</p>
",237968
6,BOATING,"<p>
	Electric motors and 10 HP or less gasoline-powered motors only.</p>
",237968
9,CAMPING,"<p>
	Lynx and Hilltop Campgrounds </p>
",237968
11,FISHING,"<ul>
	<li>Lynx Lake is a man-made lake of approximately 55 surface acres and is periodically stocked with trout.</li>
	<li>A valid fishing or combination license is required for resident and non-resident anglers 10 years of age or older fishing any public accessible water in Arizona.</li>
	<li>No swimming (by people or dogs) is permitted, and the use of boat motors is limited to electrically powered models.</li>
</ul>
",237968
14,HIKING,,237968
20,PICNICKING,,237968
23,RECREATIONAL VEHICLES,,237968
106,SWIMMING,"<p>Please see the <a href=""https://www.fs.usda.gov/detail/prescott/news-events/?cid=FSEPRD792719"" rel=""nofollow""><strong>news release dated August 28</strong></a>, 2020 for more information about swimming in the lakes on the Forest.</p>
",237968
5,BIKING,Biking,233223
8,HISTORIC & CULTURAL SITE,Historic Sites,233223
9,CAMPING,Camping,233223
11,FISHING,Fishing,233223
14,HIKING,Hiking,233223
20,PICNICKING,Picnicking,233223
22,WINTER SPORTS,Snowboarding,233223
24,VISITOR CENTER,Emergency Services,233223
25,WATER SPORTS,Tubing,233223
26,WILDLIFE VIEWING,Wildlife Viewing,233223
5,BIKING,Biking,233398
9,CAMPING,Camping,233398
11,FISHING,Fishing,233398
14,HIKING,Hiking,233398
15,HORSEBACK RIDING,Horseback Riding,233398
20,PICNICKING,Picnicking,233398
24,VISITOR CENTER,Visitor Center,233398
26,WILDLIFE VIEWING,Wildlife Viewing,233398
100004,RANGER STATION,Ranger Station,233398
100029,SCENIC DRIVE,Scenic Drive,233398
5,BIKING,Biking,233234
9,CAMPING,Camping,233234
11,FISHING,Fishing,233234
14,HIKING,Hiking,233234
15,HORSEBACK RIDING,Horseback Riding,233234
20,PICNICKING,Picnicking,233234
24,VISITOR CENTER,Visitor Center,233234
26,WILDLIFE VIEWING,Wildlife Viewing,233234
100004,RANGER STATION,Ranger Station,233234
100029,SCENIC DRIVE,Scenic Drive,233234
9,CAMPING,Camping,232197
20,PICNICKING,Picnic Tables,232197
32,DAY USE AREA,Amphitheater,232197
9,CAMPING,Camping,233222
14,HIKING,Hiking,233222
16,HUNTING,Hunting,233222
20,PICNICKING,Picnicking,233222
24,VISITOR CENTER,Emergency Services,233222
26,WILDLIFE VIEWING,Wildlife Viewing,233222
5,BIKING,,241549
9,CAMPING,,241549
11,FISHING,,241549
14,HIKING,,241549
15,HORSEBACK RIDING,,241549
20,PICNICKING,,241549
23,RECREATIONAL VEHICLES,,241549
6,BOATING,Boating,249308
9,CAMPING,Camping,249308
11,FISHING,Fishing,249308
14,HIKING,Hiking,249308
20,PICNICKING,Picnicking,249308
26,WILDLIFE VIEWING,Wildlife Viewing,249308
104,PHOTOGRAPHY,Photography,249308
105,PADDLING,Paddling,249308
100007,KAYAKING,Kayaking,249308
100008,CANOEING,Canoeing,249308
4,AUTO TOURING,Auto Touring,250033
5,BIKING,Biking,250033
11,FISHING,Fishing,250033
14,HIKING,Hiking,250033
24,VISITOR CENTER,Visitor Center,250033
100002,MOUNTAIN BIKING,Mountain Biking,250033
100041,ROCK CLIMBING,Rock Climbing,250033
9,CAMPING,Camping,232143
4,AUTO TOURING,,237912
5,BIKING,,237912
6,BOATING,,237912
7,CLIMBING,,237912
9,CAMPING,,237912
10,INTERPRETIVE PROGRAMS,,237912
11,FISHING,,237912
14,HIKING,,237912
15,HORSEBACK RIDING,,237912
18,OFF HIGHWAY VEHICLE,,237912
20,PICNICKING,,237912
23,RECREATIONAL VEHICLES,,237912
24,VISITOR CENTER,,237912
26,WILDLIFE VIEWING,,237912
30,FIRE LOOKOUTS/CABINS OVERNIGHT,,237912
109,HORSE CAMPING,,237912
5,BIKING,Biking,232489
8,HISTORIC & CULTURAL SITE,Historic & Cultural Site,232489
9,CAMPING,Camping,232489
10,INTERPRETIVE PROGRAMS,Interpretive Programs,232489
14,HIKING,Hiking,232489
15,HORSEBACK RIDING,Horseback Riding,232489
20,PICNICKING,Picnicking,232489
23,RECREATIONAL VEHICLES,Recreational Vehicles,232489
24,VISITOR CENTER,Visitor Center,232489
26,WILDLIFE VIEWING,Wildlife Viewing,232489
41,INFORMATION SITE,Information Site,232489
44,HOTEL/LODGE/RESORT PRIVATELY OWNED,Hotel/Lodge/Resort Privately Owned,232489
100002,MOUNTAIN BIKING,Mountain Biking,232489
100004,RANGER STATION,Ranger Station,232489
100015,STAR GAZING,Star Gazing,232489
100027,GUIDED INTERPRETIVE WALKS,Guided Interpretive Walks,232489
100029,SCENIC DRIVE,Scenic Drive,232489
5,BIKING,Biking,232147
6,BOATING,Boating,232147
9,CAMPING,Camping,232147
11,FISHING,Fishing,232147
14,HIKING,Hiking,232147
26,WILDLIFE VIEWING,Wildlife Viewing,232147
9,CAMPING,,261712
5,BIKING,Mountain Biking,232209
6,BOATING,Boating,232209
9,CAMPING,Camping,232209
11,FISHING,Fishing,232209
14,HIKING,Hiking,232209
5,BIKING,Biking,272095
9,CAMPING,Camping,272095
16,HUNTING,Hunting,272095
26,WILDLIFE VIEWING,Wildlife Viewing,272095
32,DAY USE AREA,Day Use Area,272095
100002,MOUNTAIN BIKING,Mountain Biking,272095
100003,OFF ROAD VEHICLE TRAILS,Off Road Vehicle Trails,272095
5,BIKING,,241548
6,BOATING,,241548
9,CAMPING,,241548
11,FISHING,,241548
14,HIKING,,241548
15,HORSEBACK RIDING,,241548
18,OFF HIGHWAY VEHICLE,,241548
20,PICNICKING,,241548
23,RECREATIONAL VEHICLES,,241548
9,CAMPING,,253995
14,HIKING,,253995
15,HORSEBACK RIDING,,253995
16,HUNTING,,253995
28,WILDERNESS,,253995
104,PHOTOGRAPHY,,253995
5,BIKING,Biking,234529
8,HISTORIC & CULTURAL SITE,Historic Sites,234529
9,CAMPING,Camping,234529
14,HIKING,Hiking,234529
15,HORSEBACK RIDING,Horseback Riding,234529
16,HUNTING,Hunting,234529
20,PICNICKING,Picnic Shelter,234529
32,DAY USE AREA,Amphitheater,234529
5,BIKING,Mountain Biking,234680
8,HISTORIC & CULTURAL SITE,Historic Sites,234680
9,CAMPING,Camping,234680
11,FISHING,Fishing,234680
14,HIKING,Hiking,234680
16,HUNTING,Hunting,234680
26,WILDLIFE VIEWING,Wildlife Viewing,234680
30,FIRE LOOKOUTS/CABINS OVERNIGHT,Lookout Tower,234680
5,BIKING,Mountain Biking,267559
9,CAMPING,Camping,267559
11,FISHING,Crawfishing,267559
14,HIKING,Hiking,267559
16,HUNTING,Hunting,267559
9,CAMPING,,10000330
14,HIKING,,10000330
16,HUNTING,,10000330
20,PICNICKING,,10000330
26,WILDLIFE VIEWING,,10000330
5,BIKING,Mountain Biking,231884
6,BOATING,Boating,231884
9,CAMPING,Camping,231884
11,FISHING,Fishing,231884
14,HIKING,Hiking,231884
20,PICNICKING,Picnic Tables,231884
26,WILDLIFE VIEWING,Wildlife Viewing,231884
5,BIKING,Biking,233956
6,BOATING,Boating,233956
7,CLIMBING,Climbing,233956
9,CAMPING,Camping,233956
10,INTERPRETIVE PROGRAMS,Interpretive Programs,233956
11,FISHING,Fishing,233956
14,HIKING,Hiking,233956
20,PICNICKING,Picnicking,233956
26,WILDLIFE VIEWING,Wildlife Viewing,233956
100043,AMPHITHEATER,Amphitheater,233956
6,BOATING,Boating,247799
9,CAMPING,Camping,247799
11,FISHING,Fishing,247799
14,HIKING,Hiking,247799
20,PICNICKING,Picnic,247799
25,WATER SPORTS,Water Sports,247799
37,PLAYGROUND PARK SPECIALIZED SPORT SITE,Playground,247799
38,OTHER RECREATION CONCESSION SITE,Groceries,247799
9,CAMPING,Camping,233224
5,BIKING,Biking,266135
6,BOATING,Boating,266135
9,CAMPING,Camping,266135
11,FISHING,Fishing,266135
