FACILITYADDRESS,FacilityAdaAccess,FacilityDescription,FacilityDirections,FacilityEmail,FacilityID,FacilityLatitude,FacilityLongitude,FacilityMapURL,FacilityName,FacilityPhone,FacilityReservationURL,FacilityTypeDescription,FacilityUseFeeDescription,GEOJSON,Keywords,LastUpdatedDate,LegacyFacilityID,OrgFacilityID,ParentOrgID,ParentRecAreaID,Reservable,StayLimit,AddressCountryCode,AddressStateCode,City,FacilityAddressID,FacilityStreetAddress1,FacilityStreetAddress2,FacilityStreetAddress3,PostalCode
"[{'AddressCountryCode': 'USA', 'AddressStateCode': 'AZ', 'City': 'WILLIAMS', 'FacilityAddressID': '20439305', 'FacilityAddressType': 'Default', 'FacilityID': '233957', 'FacilityStreetAddress1': '', 'FacilityStreetAddress2': '', 'FacilityStreetAddress3': '', 'LastUpdatedDate': '2024-11-26', 'PostalCode': '86046'}]",N,"<h2>Overview</h2>
Kaibab Lake sits among the diverse landscape of Kaibab National Forest of northern Arizona. The lake is a popular spot for fishing and picnicking, as well as for RV and motorhome campers. With Grand Canyon National Park just 60 miles north and several other cultural and historic sites nearby, the location is a hotspot for recreation, learning and sightseeing.<h2>Recreation</h2>
Kaibab Lake is a popular area to join friends or family for a picnic in the cool pines. A number of forest attractions are easily accessed from the campground, such as overlooks, dams and hiking trails. A nature trail wanders through the facility.
<br/><br/>
Swimming is not allowed in the lake, but anglers can take to its shores or deeper waters via an accessible fishing pier and small boat ramp. On clear nights, campers can turn their eyes to the night sky to enjoy spectacular views of summer stars.<h2>Facilities</h2>
Kaibab Lake is a popular area to join friends or family for a picnic in the cool pines. A number of forest attractions are easily accessed from the campground, such as overlooks, dams and hiking trails. A nature trail wanders through the facility.
<br/><br/>
Swimming is not allowed in the lake, but anglers can take to its shores or deeper waters via an accessible fishing pier and small boat ramp. On clear nights, campers can turn their eyes to the night sky to enjoy spectacular views of summer stars.<h2>Natural Features</h2>
Kaibab National Forest is nestled on the Colorado Plateau, on an area of land that was uplifted by geologic processes. The lake sits at an elevation of 6,800 feet, and pine forests and grass line its shores, while wildflowers add extra color to the landscape in late spring and early summer.
<br/><br/>
Summer temperatures range from 50 degrees at night to 80-90 degrees during the day. Summer thunderstorms, known as the monsoon, can build up quickly, especially during July and August. Snow is common from December through March.
<h2>contact_info</h2>
For facility specific information, please call +0000000.
<h2>Nearby Attractions</h2>
Grand Canyon National Park's South Rim is about one hour north of the campground. The cities of Williams and Flagstaff have amenities such as shops, restaurants and cultural and historic sites.
<br/><br/>
From canyons to prairies, peaks to plateaus, Kaibab National Forest offers layers of opportunity for peace, solitude and discovery. Over 300 miles of trails, some clinging to the rims of the Grand Canyon, allow visitors to step off the beaten path into uncrowded landscapes.","From Williams, Arizona, take I-40 east to exit 165. Turn north onto State Highway 64 toward Grand Canyon and go a mile to the campground entrance on the left.",,233957,35.2811111,-112.1569444,,KAIBAB LAKE SITES AND GROUP AREAS,928-699-1239,,Campground,,"{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}","KAIB,Kaibab Picnic Area,Kaibab Lake,Kaibab,Kaibab Campground,KAIBAB NF - FS",2024-11-26,73905,AN373905,131,1094,True,,USA,AZ,WILLIAMS,20439305,,,,86046
"[{'AddressCountryCode': 'USA', 'AddressStateCode': 'AZ', 'City': 'WILLIAMS', 'FacilityAddressID': '20439303', 'FacilityAddressType': 'Default', 'FacilityID': '233955', 'FacilityStreetAddress1': '', 'FacilityStreetAddress2': '', 'FacilityStreetAddress3': '', 'LastUpdatedDate': '2024-11-26', 'PostalCode': '86046'}]",N,"<h2>Overview</h2>
<p>White Horse Lake is an extremely popular fishing lake, 19 miles southeast of Williams, in northern Arizona. The lake's campground is conveniently located an hour from Grand Canyon National Park's south rim and surrounded by the exciting and diverse scenery of Kaibab National Forest. A number of forest attractions are nearby, including scenic overlooks, dams and hiking and mountain biking trails. White Horse also offers a place to enjoy beverages and snacks provided by The Bear Shack.</p>
<h2>Recreation</h2>
<p>In addition to fishing, the area offers excellent opportunities for hiking, mountain biking and wildlife watching. Anglers seek out Large Mouth Bass, Crappie and Bluegill.</p>
<h2>Facilities</h2>
<p>In addition to fishing, the area offers excellent opportunities for hiking, mountain biking and wildlife watching. Anglers seek out Large Mouth Bass, Crappie and Bluegill.</p>
<h2>Natural Features</h2>
Kaibab National Forest is nestled on the Colorado Plateau, an area of land that was uplifted by geologic processes. Dogtown Lake sits at an elevation of 6,600 feet, and the campground is forested with plenty of open areas. Wildlife such as deer and elk frequent the shoreline.
<br/><br/>
Summer temperatures range from 50 degrees at night to 80-90 degrees during the day. Summer thunderstorms, known as the monsoon, can build up quickly, especially during July and August. Snow is common from December through March.
<h2>contact_info</h2>
For facility specific information, please call +0000000.
<h2>Nearby Attractions</h2>
Grand Canyon National Park's South Rim is just over one hour north of the campground. The cities of Williams and Flagstaff have amenities such as shops, restaurants and cultural and historic sites.
<br/><br/>
From canyons to prairies, peaks to plateaus, Kaibab National Forest offers layers of opportunity for peace, solitude and discovery. Over 300 miles of trails, some clinging to the rims of the Grand Canyon, allow visitors to step off the beaten path into uncrowded landscapes.","In Williams, Arizona, turn south onto 4th Street/County Road 73 and drive about 9 miles to Forest Road 110. Turn left and proceed for approximately 7 miles to FR 109. Turn left again and follow for about 3 miles to the campground. 
<br/><br/>
Forest Roads 110 and 109 are high-use roads and can become rough during peak season. During the winter, roads may be closed due to snow cover.",,233955,35.1152778,-112.0172222,,WHITE HORSE LAKE Campground,928-699-1239,,Campground,,"{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}","WHLG,White Horse Lake,White Horse,KAIBAB NF - FS",2024-11-26,73903,AN373903,131,1094,True,,USA,AZ,WILLIAMS,20439303,,,,86046
"[{'AddressCountryCode': 'USA', 'AddressStateCode': 'AZ', 'City': 'Prescott', 'FacilityAddressID': '20440316', 'FacilityAddressType': 'Default', 'FacilityID': '251846', 'FacilityStreetAddress1': 'PRESCOTT NATIONAL FOREST', 'FacilityStreetAddress2': 'BRADSHAW RANGER DISTRICT', 'FacilityStreetAddress3': '344 S. CORTEZ STREET', 'LastUpdatedDate': '2024-11-26', 'PostalCode': '86303'}]",N,"<h2>Overview</h2>
<p>Alto Pit OHV Campground is located at the foot of Granite Mountain Wilderness Area, at an elevation of 6,200 feet. The off-highway trail system within the recreation area draws enthusiasts of all ages with degrees of skills that prove challenging and enjoyable for everyone alike. To make reservations click on the availability button to the right to book this site or call 1 (877) 444-6777. For general campground questions contact the Bradshaw Ranger District at 1 (928) 443-8000.</p>
<h2>Recreation</h2>
Once an active gravel pit, Alto Pit is now exclusively used for motorized off-road travel. Main Pit is the larger of two gravel pits within the recreation area. West Pit is located a short distance to the southwest of Main Pit. The 20-mile trail system offers challenging rides for advanced recreationists and thrilling rides for beginners. <h2>Facilities</h2>
Once an active gravel pit, Alto Pit is now exclusively used for motorized off-road travel. Main Pit is the larger of two gravel pits within the recreation area. West Pit is located a short distance to the southwest of Main Pit. The 20-mile trail system offers challenging rides for advanced recreationists and thrilling rides for beginners. <h2>Natural Features</h2>
The rugged landscape that encompasses and surrounds Alto Pit OHV Campground is a nearly perfect setting for off-highway vehicle (OHV) enthusiasts. Granite rock in various stages of degradation is evident and is more pronounced when viewing craggy and rugged Granite Mountain rising abruptly to the north.  Predominate vegetation include ponderosa pine, limber pine, oak, manzanita, and a variety of shrubs and grasses.
<h2>Nearby Attractions</h2>
Granite Basin Recreation Area is located northeast of the Alto Pit OHV Area and just a 15 minute drive away. Granite Basin contains Yavapai Campground, Granite Basin Lake and several day use areas. Visitors enjoy fishing, bird-watching, backpacking, hiking, horseback riding, biking, picnicking, camping, and just plain relaxing. Immediately rising north of Granite Basin Lake is rugged Granite Mountain with a highest point of 6,874 feet within Granite Mountain Wilderness Area. Thumb Butte, at 6,515 feet, rises prominently southeast of Alto Pit OHV Area and can be seen from most anywhere in the Prescott Basin. It is one of the most popular destinations in the Prescott National Forest.","From the courthouse located in downtown City of Prescott, go northwest on Iron Spring Road. Continue 5 miles past the junction of Gale Gardner Way and Iron Springs Road. Alto Pit is on the right side of the road.",www.fs.fed.us/r3/prescott,251846,34.59,-112.5591667,,ALTO PIT OHV CAMPGROUND,1 (877) 444-6777,,Campground,,"{'COORDINATES': [-112.5591667, 34.59], 'TYPE': 'Point'}",Alto Pit,2024-11-26,134241,AN434241,131,1095,True,,USA,AZ,Prescott,20440316,PRESCOTT NATIONAL FOREST,BRADSHAW RANGER DISTRICT,344 S. CORTEZ STREET,86303
"[{'AddressCountryCode': 'USA', 'AddressStateCode': 'AZ', 'City': 'Douglas', 'FacilityAddressID': '20440228', 'FacilityAddressType': 'Default', 'FacilityID': '250019', 'FacilityStreetAddress1': '', 'FacilityStreetAddress2': 'DOUGLAS RANGER DISTRICT', 'FacilityStreetAddress3': '1192 W SADDLEVIEW ROAD', 'LastUpdatedDate': '2024-11-26', 'PostalCode': '85607'}]",N,"<h2>Overview</h2>
The Portal Bunkhouse is a two-room cabin located one mile west of Portal, Arizona. Constructed in 1933 by the Civilian Conservation Corps, the Bunkhouse is listed on the National Register of Historic Places. The structure is one of the finest remaining examples of river-cobble masonry construction from that era.<h2>Recreation</h2>
Cave Creek Canyon is located on the eastern slope of the Chiricahua Mountains in southeastern Arizona, about 2.5 hours from Tucson. It is world-renowned for its dramatic rock formations and diverse wildlife. Birding is exceptional year-round, and particularly rewarding during the summer months. Hiking and rock-climbing are also popular activities, and picnic areas dot the canyon for its many hikers.<h2>Facilities</h2>
Cave Creek Canyon is located on the eastern slope of the Chiricahua Mountains in southeastern Arizona, about 2.5 hours from Tucson. It is world-renowned for its dramatic rock formations and diverse wildlife. Birding is exceptional year-round, and particularly rewarding during the summer months. Hiking and rock-climbing are also popular activities, and picnic areas dot the canyon for its many hikers.<h2>Natural Features</h2>
The Portal Bunkhouse is located at the entrance to Cave Creek Canyon at an elevation of 5,000 feet. The canyon's soaring cliffs, with their caves and pinnacles, are often described as ""Arizona's 'Secret' Grand Canyon."" Cave Creek, a perennial stream, flows through the canyon nearby. The diverse wildlife that can be seen in the canyon include a stunning variety of bird species. 
<h2>Nearby Attractions</h2>
The Portal Bunkhouse is located approximately 1 mile west of Portal, Arizona. Attractions in the area include Chiricahua National Monument, Fort Bowie National Historical Park, historic Camp Rucker, the Geronimo Surrender sites, and the International Border and the border community of Douglas, AZ. ","<p>From Tucson, take I-10 east for 139 miles to Road Forks, NM. Turn right (south) on US 80 and drive 28 miles to Portal Road. Turn right (west) and drive 7 miles through the town of Portal. Turn left on Forest Road 42 for approximately 1 mile. The Bunkhouse is the rock masonry building just past the Visitor Information Center.</p>
",,250019,31.898555546,-109.162348894,,PORTAL BUNKHOUSE,(520) 364-3468,,Campground,,"{'COORDINATES': [-109.162348894, 31.898555546], 'TYPE': 'Point'}",PORTAL BUNKHOUSE,2024-11-26,117589,AN417589,131,1093,True,,USA,AZ,Douglas,20440228,,DOUGLAS RANGER DISTRICT,1192 W SADDLEVIEW ROAD,85607
"[{'AddressCountryCode': 'USA', 'AddressStateCode': 'AZ', 'City': 'Phoenix', 'FacilityAddressID': '20489202', 'FacilityAddressType': 'Default', 'FacilityID': '275045', 'FacilityStreetAddress1': 'Hassayampa Field Office', 'FacilityStreetAddress2': '21605 North 7th Avenue', 'FacilityStreetAddress3': '', 'LastUpdatedDate': '2018-10-12', 'PostalCode': '85027'}]",,The Little Pan Staging Area provides a staging and rest area for the Table Mesa Recreation Area. The staging area features two OHV training areas. Primitive camping is available and includes two accessible vault toilets and information kiosks.,"The staging area is located 42 miles north of downtown Phoenix. From Phoenix, head north on I-17 to exit 236. Turn left on Table Mesa Road. Turn right after 500 feet to stay on Table Mesa Road. Follow the main road heading north for 2.5 miles, left on the first fork, right on the second fork.",blm_az_pdo@blm.gov,275045,34.00388889,-112.1613889,,Little Pan Staging Area,(623) 580-5500,,Facility,,"{'COORDINATES': [-112.1613889, 34.00388889], 'TYPE': 'Point'}",hassayampa field office,2020-09-10,,,126,,False,14 days,USA,AZ,Phoenix,20489202,Hassayampa Field Office,21605 North 7th Avenue,,85027
"[{'AddressCountryCode': 'USA', 'AddressStateCode': 'AZ', 'City': 'Willcox', 'FacilityAddressID': '20438747', 'FacilityAddressType': 'Default', 'FacilityID': '250901', 'FacilityStreetAddress1': '12856 E Rhyolite Creek Rd', 'FacilityStreetAddress2': '', 'FacilityStreetAddress3': '', 'LastUpdatedDate': '2024-11-26', 'PostalCode': '85643'}]",N,"<h2>Overview</h2>
<p>Bonita Canyon Campground is located in Chiricahua National Monument, also known as the ""Wonderland of Rocks"".  Visitors love Chiricahua for its stunning rock columns (hoodoos), hiking trails, and bird watching opportunities. </p>
<p><strong>NOTE:</strong> <strong>Vehicles and RV's longer than 24 feet are NOT permitted on the scenic drive beyond the campground. Trailers are not permitted on the Scenic Drive.</strong>  <a href=""https://www.nps.gov/chir/planyourvisit/upload/SB-CG-rules_regs_online_res-ACC-2.pdf"" rel=""nofollow"">See campground regulations and map.</a> </p>
<p> </p>
<h2>Recreation</h2>
<p>Chiricahua National Monument offers 17 miles (27 km) of day-use hiking trails. Birders frequent this site for the diversity of species that reside in or migrate through the area.  Enjoy sweeping views of the surrounding valleys and mountain ranges which make for stunning photography opportunities at Massai Point, the end of the 8-mile (13 km), paved scenic drive. No backcountry camping is permitted in the park. The Coronado National Forest surrounds Chiricahua and may offer dispersed or other <a href=""https://www.fs.usda.gov/activity/coronado/recreation/camping-cabins"" rel=""nofollow"">camping opportunities</a>  as well as <a href=""https://www.recreation.gov/camping/gateways/1093"" rel=""nofollow"">reservations for developed campgrounds</a>.</p>
<h2>Facilities</h2>
<p>Chiricahua National Monument offers 17 miles (27 km) of day-use hiking trails. Birders frequent this site for the diversity of species that reside in or migrate through the area.  Enjoy sweeping views of the surrounding valleys and mountain ranges which make for stunning photography opportunities at Massai Point, the end of the 8-mile (13 km), paved scenic drive. No backcountry camping is permitted in the park. The Coronado National Forest surrounds Chiricahua and may offer dispersed or other <a href=""https://www.fs.usda.gov/activity/coronado/recreation/camping-cabins"" rel=""nofollow"">camping opportunities</a>  as well as <a href=""https://www.recreation.gov/camping/gateways/1093"" rel=""nofollow"">reservations for developed campgrounds</a>.</p>
<h2>Natural Features</h2>
<p>Set in a pine and oak forest, Bonita Canyon Campground provides an atmosphere of relaxation. Most campsites are well shaded and have views of Bonita Creek which is dry most of the year, </p>

<h2>Nearby Attractions</h2>
<p>The park visitor center is open daily, 8:30 a.m. to 4:30 p.m., Mountain Standard Time (except Thanksgiving Day and December 25). Inside you will find interactive exhibits about the cultural and natural history of the park, plus a Western National Parks Association store. </p>

<p>Visitors may explore <a href=""https://www.nps.gov/chir/planyourvisit/faraway-ranch-historic-district.htm"" rel=""nofollow"">Faraway Ranch</a> , originally the Erickson family pioneer homestead, converted into a 20th century guest ranch by the family daughters and currently an historic site. For more information visit the <a href=""https://www.nps.gov/chir/index.htm"" rel=""nofollow"">Chiricahua National Monument website.</a>   </p>

<p>Nearby <a href=""https://www.nps.gov/fobo/index.htm"" rel=""nofollow"">Fort Bowie National Historic Site</a>, <a href=""https://www.nps.gov/coro/index.htm"" rel=""nofollow"">Coronado National Memorial</a>, the <a href=""https://www.fs.usda.gov/coronado"" rel=""nofollow"">Coronado National Forest</a>, Portal/Cave Creek, Tombstone, Bisbee, and Willcox are additional places visitors to Chiricahua may also enjoy exploring.</p>
<h2>Charges & Cancellations</h2>

","<p>Chiricahua National Monument is 45 minutes southeast of Willcox and 2 hours southeast of Tucson, AZ.   <br></p>
<p>From I-10 east:<br> 1. Take exit 336 toward Willcox for 4 miles (6.4 km).<br> 2. Turn left onto Arizona 186 E (East Maley Street) for 31 miles (50 km).<br> 3. Turn left onto Arizona 181 E for 4 miles (6.4 km).<br> 4. Veer left onto E Bonita Canyon Road and into Chiricahua National Monument. The campground is 2.5 miles (4 km) ahead on your left.<br>  <br>From I-10 west:<br> 1. Take exit 344 toward Willcox. <br> 2. Continue on N Haskell Ave for 5 miles (8 km).<br> 3. Turn right onto Arizona 186 E (East Maley Street) 31 miles (50 km).<br> 3. Turn left onto Arizona 181 E for 4 miles (6.4 km).<br> 4. Veer left onto East Bonita Canyon Road and into Chiricahua National Monument. The campground is 2.5 miles (4 km) ahead on your left.</p>
",suzanne_moody@nps.gov,250901,32.0111111,-109.3552778,,Bonita Canyon Campground,520-824-3560,,Campground,"<p>The Group Tent Site is available to groups of 8 to 24 people. The minimum fee per night is $24 and the maximum fee per night is $72.</p>
","{'COORDINATES': [-109.3552778, 32.0111111], 'TYPE': 'Point'}","Chiricahua National Monument Campground,Bonita Campground,Chiricahua Campground",2024-11-26,72470,AN372470,128,2630,True,,USA,AZ,Willcox,20438747,12856 E Rhyolite Creek Rd,,,85643
"[{'AddressCountryCode': 'USA', 'AddressStateCode': 'AZ', 'City': 'Hereford', 'FacilityAddressID': '20438570', 'FacilityAddressType': 'Default', 'FacilityID': '233226', 'FacilityStreetAddress1': '4070 S Avenida Saracino', 'FacilityStreetAddress2': '', 'FacilityStreetAddress3': '', 'LastUpdatedDate': '2024-11-26', 'PostalCode': '85615'}]",N,"<h2>Overview</h2>
Rock Bluff Group Site is just a short distance from Parker Canyon Lake in a remote and scenic region of the Coronado National Forest in southeastern Arizona. The site is open to groups of up to 50 people to enjoy camping and picnicking, as well as fishing and boating at the lake.
<h2>Recreation</h2>
<p>Campers can enjoy an interpretive trail around the lake that begins a quarter-mile walk from Rock Bluff. Trailside benches are located at some of the best wildlife viewing areas. Bald eagles are regularly sighted during the winter, and osprey are sometimes seen migrating through the area in the fall.<br><br><br><br>For those who like to fish, Parker Canyon Lake offers both cold and warm water species, including stocked rainbow trout and resident bass, sunfish and catfish. Boating is available with a limit of one 10-horsepower motor or less.  Day use fee $8/day or $10/week </p>
<h2>Facilities</h2>
<p>Campers can enjoy an interpretive trail around the lake that begins a quarter-mile walk from Rock Bluff. Trailside benches are located at some of the best wildlife viewing areas. Bald eagles are regularly sighted during the winter, and osprey are sometimes seen migrating through the area in the fall.<br><br><br><br>For those who like to fish, Parker Canyon Lake offers both cold and warm water species, including stocked rainbow trout and resident bass, sunfish and catfish. Boating is available with a limit of one 10-horsepower motor or less.  Day use fee $8/day or $10/week </p>
<h2>Natural Features</h2>
The group camping area sits at an elevation of 5,400 feet in a small, rocky canyon dotted with oaks and junipers. Animals unique to the southwest, such as coatimundi, javelina and roadrunners, occasionally make appearances around the lake.
<br/><br/>
The Coronado National Forest covers 1.78 million acres of southeastern Arizona and southwestern New Mexico. Elevations range from 3,000 to 10,720 feet in 12 widely scattered mountain ranges, or ""sky islands,"" that rise dramatically from the desert floor, supporting biologically diverse plant communities.
<h2>Nearby Attractions</h2>
<p>A lakeside developed recreation site, including a boat ramp, fishing pier, general store and boat rentals, is located just a short drive from the group area.</p>
<p>Day use fee $8/day or $10/week per vehicle (pay on site with exact amount) or pay online ahead of time at https://www.recreation.gov/sitepass/74388</p>
<p>We also honor all America The Beautiful national passes for day use. </p>
<p>Passes must be clearly displayed when in Day Use Areas.</p>
","From Tucson, drive east on I-10 to the Arizona Route 83 exit. Drive south to Sonoita, and then continue on 83 for approximately 25 miles to Parker Canyon Lake.
<br/><br/>
From Sierra Vista, travel through Fort Huachuca's west gate to State Route 83. Turn south and travel 10 miles to Parker Canyon Lake.
",,233226,31.4338889,-110.4527778,,ROCK BLUFF GROUP SITE,,,Campground,,"{'COORDINATES': [-110.4527778, 31.4338889], 'TYPE': 'Point'}",None,2024-11-26,72134,AN372134,131,1093,True,,USA,AZ,Hereford,20438570,4070 S Avenida Saracino,,,85615
"[{'AddressCountryCode': 'USA', 'AddressStateCode': 'AZ', 'City': 'Lake Havasu City', 'FacilityAddressID': '19810290', 'FacilityAddressType': 'Default', 'FacilityID': '261843', 'FacilityStreetAddress1': 'Lake Havasu Field Office', 'FacilityStreetAddress2': '1785 Kiowa Avenue', 'FacilityStreetAddress3': '', 'LastUpdatedDate': '2019-04-18', 'PostalCode': '86403'}]",,"The Lake Havasu Field Offices manages 73 boat access campsites over 20 miles along the Arizona shore of Lake Havasu. These campsites offer a picnic table, barbecue grill, and trash receptacle and a majority of the sites provide a restroom and shade structure. These sites offer the opportunity to enjoy the recreational opportunities on the lake overnight or just for the day. These sites are available on a first-come, first serve basis and there is a 14 day stay limit in place.<br/><br/>
Whether you're planning a single visit or coming back multiple times a year, enjoy the convenience of purchasing a pass before you arrive to cover recreation-related fees at Bureau of Land Management sites. Learn more about site-specific digital pass options at Lake Havasu Shoreline Sites and <a href=""https://www.recreation.gov/sitepass/70202"" rel=""nofollow"">buy your pass</a>.",The Lake Havasu Field Offices manages 73 boat access campsites over 20 miles along the Arizona shore of Lake Havasu.,,261843,34.300454,-114.136724,https://www.blm.gov/sites/blm.gov/files/documents/files/BLM_AZ_LHFO_ShorelineCampsites_11x17_REC3005-01-01.pdf,Lake Havasu Shoreline Sites,(928) 505-1200,https://www.recreation.gov/sitepass/70202,Campground,These sites are $10 a day and an additional $10 a night for up to 6 individuals. Each additional person is $2. There is no fee for children under 16 years of age. The paid overnight fee is good until 9 AM the following day. There is an annual pass for the Shoreline Sites valued at $100 and is good for a year. Both passes may be purchased online or you may deposit day use fees into the iron ranger and purchase the annual pass at Lake Havasu Field Office.,"{'COORDINATES': [-114.136724, 34.300454], 'TYPE': 'Point'}","Lake Havasu, Shoreline Camps, Camping, Boating, lhfo",2020-11-23,,,126,,False,A 14 day stay limit is in place.,USA,AZ,Lake Havasu City,19810290,Lake Havasu Field Office,1785 Kiowa Avenue,,86403
"[{'AddressCountryCode': 'USA', 'AddressStateCode': 'AZ', 'City': 'Mt. Lemmon', 'FacilityAddressID': '20437639', 'FacilityAddressType': 'Default', 'FacilityID': '232284', 'FacilityStreetAddress1': '10371 Rose Canyon Rd', 'FacilityStreetAddress2': '', 'FacilityStreetAddress3': '', 'LastUpdatedDate': '2024-11-26', 'PostalCode': '85619'}]",N,"<h2>Overview</h2>
Rose Canyon Campground is just 17 miles northeast of Tucson, Arizona, off the Catalina Highway Scenic Drive near the summit of Mt. Lemmon. This area is popular for day use as well as overnight camping. With a high elevation, forested setting, two group picnic areas and opportunities for hiking, wildlife viewing and fishing, Rose Canyon offers a great summer respite from the city.<h2>Recreation</h2>
The lake is sheltered by trees and offers a pleasant setting for a walk in the woods, relaxing on the shore or spending an afternoon fishing for stocked trout. A one-mile trail around the lake is convenient for anglers and hikers. The trail is accessible from the lower parking area to a floating dock near a dam.
<br/><br/>
The surrounding national forest boasts a variety of hiking and mountain biking trails, including several that traverse the 9,157-foot Mt. Lemmon.<h2>Facilities</h2>
The lake is sheltered by trees and offers a pleasant setting for a walk in the woods, relaxing on the shore or spending an afternoon fishing for stocked trout. A one-mile trail around the lake is convenient for anglers and hikers. The trail is accessible from the lower parking area to a floating dock near a dam.
<br/><br/>
The surrounding national forest boasts a variety of hiking and mountain biking trails, including several that traverse the 9,157-foot Mt. Lemmon.<h2>Natural Features</h2>
The campground sits high on the slopes of the Santa Catalina Mountains, at an elevation of 7,000 feet. Because of its elevation, it can be much cooler than the lower-elevation campgrounds in the area. The campsites are spacious and spread out among stands of large ponderosa pines and clusters of Gambel oak. During the summer rainy season, Rose Creek meanders through the area to the six-acre Rose Canyon Lake at the lower end of the campground.
<br/><br/>
The Coronado National Forest covers 1.78 million acres of southeastern Arizona and southwestern New Mexico. Elevations range from 3,000 to 10,720 feet in 12 widely scattered mountain ranges, or ""sky islands,"" that rise dramatically from the desert floor, supporting biologically diverse plant communities.
<h2>contact_info</h2>
For facility specific information, please call (520) 576-1325.
<h2>Nearby Attractions</h2>
Catalina Highway, also known as General Hitchcock Highway and Sky Island Scenic Byway, is the only paved road that leads to the upper reaches of Mt. Lemmon and the Santa Catalina Range. It is one of the most scenic highways in the southwest and is a popular day trip.
<br/><br/>
Other notable attractions include Saguaro National Park, Sabino Canyon and Colossal Cave.","From Tucson, Arizona, take Catalina Highway/Arizona Route 39 northeast. The campground is located between mile markers 17 and 18 on the Catalina Highway.
",,232284,32.395,-110.6911111,,ROSE CANYON,520-576-1477 ,,Campground,"<p>Group site fees are as follows:<br><br> up to 50 persons $95; <br><br> 51-90 persons $130;<br><br>91-120 persons $150 per day.</p>
","{'COORDINATES': [-110.6911111, 32.395], 'TYPE': 'Point'}","ROSE,ROSE CANYON REC AREA,ROSE CANYON LAKE,ROSE PARK,ROSE CANYON PARK,CORONADO NF - FS",2024-11-26,70583,AN370583,131,1093,True,,USA,AZ,Mt. Lemmon,20437639,10371 Rose Canyon Rd,,,85619
"[{'AddressCountryCode': 'USA', 'AddressStateCode': 'AZ', 'City': 'Gila Bend', 'FacilityAddressID': '10825', 'FacilityAddressType': 'Default', 'FacilityID': '202059', 'FacilityStreetAddress1': '46101 Rocky Point Rd', 'FacilityStreetAddress2': '', 'FacilityStreetAddress3': '', 'LastUpdatedDate': '2018-10-12', 'PostalCode': '85337'}]",No,"<p>The Painted Rock Petroglyph Site and Campground are located approximately 90 miles southwest of Phoenix, Arizona. The petroglyph site provides visitors the opportunity to view an ancient archaeological site containing hundreds of symbolic and artistic rock etchings, or ""petroglyphs,"" produced centuries ago by prehistoric peoples. There are also inscriptions made by people who passed through during historic times. There is a $2 per vehicle fee for the site. Cash or check payment is accepted.</p>
<p>Overnight camping is allowed at the adjacent Painted Rock Petroglyph Campground.  This is a separate facility from the petroglyph site. Camping reservations must be made through the <a href=""https://www.recreation.gov/camping/campgrounds/10041410"" rel=""nofollow"">recreation.gov website</a>.  We no longer accept cash or check payments for campsites.  The campground has picnic tables, grills, steel fire rings, and a vault toilet.  No potable water is available at the facility.</p>
<p>Several historic trails lie within the campground. The <a href=""https://www.blm.gov/programs/national-conservation-lands/national-scenic-and-historic-trails/Juan-Bautista-de-Anza"" rel=""nofollow"">Juan Bautista de Anza National Historic Trail</a>, The Butterfield Overland Stage Route and the Mormon Battalion Trail are three trails that played prominent roles in the history of Arizona and the American West. Visitors can learn about the site and historic trails through professional interpretive panels located on the site.</p>","Exit Interstate 8 at Painted Rock Dam Road/Exit 102, approximately 12.5 miles west of Gila Bend. Travel north on Painted Rocks Dam Road 10.7 miles to Rocky Point Road. Painted Rocks Petroglyph Site is 0.6 miles west of Painted Rock Dam Road on Rocky Point Road.",,202059,33.02437,-113.04543,https://www.blm.gov/sites/blm.gov/files/documents/files/AZ_PDO_LSFO_PaintedRockCGMap_508.pdf,Painted Rock Petroglyph Site and Campground,(623) 580-5500,,Campground,"$2.00/vehicle for day use,  $8/vehicle/per night for camping","{'COORDINATES': [-113.04543, 33.02437], 'TYPE': 'Point'}",lower sonoran field office,2023-11-16,,,126,10012144,False,Day use or 14 days at campground,USA,AZ,Gila Bend,10825,46101 Rocky Point Rd,,,85337
