AddressCountryCode,AddressStateCode,City,FacilityAddressID,FacilityID,FacilityStreetAddress1,FacilityStreetAddress2,FacilityStreetAddress3,LastUpdatedDate,PostalCode
USA,AZ,WILLIAMS,20439305,233957,,,,2024-11-26,86046
USA,AZ,WILLIAMS,20439303,233955,,,,2024-11-26,86046
USA,AZ,Prescott,20440316,251846,PRESCOTT NATIONAL FOREST,BRADSHAW RANGER DISTRICT,344 S. CORTEZ STREET,2024-11-26,86303
USA,AZ,Douglas,20440228,250019,,DOUGLAS RANGER DISTRICT,1192 W SADDLEVIEW ROAD,2024-11-26,85607
USA,AZ,Phoenix,20489202,275045,Hassayampa Field Office,21605 North 7th Avenue,,2018-10-12,85027
USA,AZ,Willcox,20438747,250901,12856 E Rhyolite Creek Rd,,,2024-11-26,85643
USA,AZ,Hereford,20438570,233226,4070 S Avenida Saracino,,,2024-11-26,85615
USA,AZ,Lake Havasu City,19810290,261843,Lake Havasu Field Office,1785 Kiowa Avenue,,2019-04-18,86403
USA,AZ,Mt. Lemmon,20437639,232284,10371 Rose Canyon Rd,,,2024-11-26,85619
USA,AZ,Gila Bend,10825,202059,46101 Rocky Point Rd,,,2018-10-12,85337
USA,AZ,,20437552,232196,APACHE-SITGREAVES,,,2024-11-26,
USA,AZ,,20437675,232320,COCONINO,,,2024-11-26,
USA,AZ,SEDONA,20437654,232299,333 RED ROCK CROSSING RD.,,,2024-11-26,86336
,AZ,Sedona,2322991000,232299,333 Red Rock Crossing RD,,,2024-11-26,86336
USA,AZ,,20249593,241550,,,,2018-10-12,
USA,AZ,,20249594,241551,,,,2018-10-12,
USA,AZ,,20265895,264749,,,,2018-10-12,
USA,AZ,WILLIAMS,20439798,234439,742 S. CLOVER RD,,,2024-11-26,86046
USA,AZ,Camp Verde,20440522,270420,PRESCOTT NATIONAL FOREST,VERDE RANGER DISTRICT,300 EAST HIGHWAY 260,2024-11-26,86322
USA,AZ,,20244303,237968,,,,2018-10-12,
USA,AZ,Tucson,20438567,233223,5700 N Sabino Canyon Rd,,,2024-11-26,85750
USA,AZ,Safford,20438759,233398,"711 14th Ave., STE D",,,2024-11-26,85546
USA,AZ,Safford,20438578,233234,"711 14th Avenue, Suite D",,,2024-11-26,85546
USA,AZ,,20437553,232197,APACHE-SITGREAVES,,,2024-11-26,
USA,AZ,Oracle,20438566,233222,Mount Lemmon Road,,,2024-11-26,85623
USA,AZ,,20249592,241549,,,,2018-10-12,
US,AZ,ROOSEVELT,2493080,249308,28079 N. AZ HWY 188,,,2024-11-26,85545
USA,AZ,Tucson,20440229,250033,,SANTA CATALINA RANGER DISTRICT,5700 N SABINO CANYON ROAD,2024-11-26,85750
USA,AZ,,20437500,232143,COCONINO,,,2024-11-26,
USA,AZ,,20244259,237912,,,,2018-10-12,
USA,AZ,North Rim,20437849,232489,NPS. GENERAL DELIVERY,,,2024-11-26,86052
USA,AZ,,20437504,232147,COCONINO,,,2024-11-26,
USA,AZ,Phoenix,19625315,261712,Lower Sonoran Field Office,21605 North 7th Ave,,2018-10-12,85027
