EquipmentName,MaxLength,CampsiteID
Tent,40,25162
RV,40,25162
Tent,40,25581
RV,40,25581
Tent,35,25080
RV,35,25080
Tent,35,25322
RV,35,25322
Tent,35,25491
RV,35,25491
Tent,30,25510
RV,30,25510
Tent,42,25158
RV,42,25158
Trailer,35,25316
Tent,35,25316
RV,35,25316
Tent,42,25934
RV,42,25934
Tent,35,25315
RV,35,25315
Tent,42,25182
RV,42,25182
Tent,35,25064
RV,35,25064
Tent,40,25167
RV,40,25167
Tent,30,25999
RV,30,25999
Tent,30,25226
RV,30,25226
Tent,42,25878
RV,42,25878
RV,35,25593
Tent,35,25593
Tent,42,25019
RV,42,25019
Tent,35,25611
RV,35,25611
Tent,35,25936
RV,35,25936
Tent,20,25990
Tent,35,25398
RV,35,25398
Tent,35,25866
RV,35,25866
Tent,35,25282
RV,35,25282
Tent,35,25665
RV,35,25665
Tent,40,25379
RV,40,25379
Tent,42,25753
RV,42,25753
Trailer,40,25971
Tent,40,25971
RV,40,25971
Tent,20,25251
Tent,38,25438
RV,38,25438
Tent,42,25721
RV,42,25721
Tent,40,25629
RV,40,25629
Tent,35,25131
RV,35,25131
Tent,42,25579
Tent,42,25434
RV,42,25434
Tent,35,25901
RV,35,25901
Tent,42,25436
RV,42,25436
Tent,40,25942
RV,40,25942
Tent,35,25297
RV,35,25297
Tent,30,25146
RV,30,25146
Tent,42,25016
RV,42,25016
Tent,30,25810
RV,30,25810
Tent,30,25977
RV,30,25977
Tent,30,25457
RV,30,25457
Tent,42,25319
RV,42,25319
Tent,20,25522
Tent,42,25331
RV,42,25331
Tent,35,25578
RV,35,25578
Tent,35,25683
RV,35,25683
Tent,42,25890
RV,42,25890
Tent,20,25067
Tent,30,25421
RV,30,25421
Tent,35,25096
RV,35,25096
Tent,42,25153
RV,42,25153
Tent,40,25530
RV,40,25530
Tent,42,25188
RV,42,25188
Tent,42,25955
RV,42,25955
Tent,35,25361
RV,35,25361
Tent,42,25793
RV,42,25793
Trailer,35,25453
Tent,35,25453
RV,35,25453
Tent,35,25685
RV,35,25685
Tent,30,25686
RV,30,25686
Tent,35,25943
RV,35,25943
Tent,20,25460
Tent,35,25889
RV,35,25889
Tent,35,25740
RV,35,25740
Tent,42,25852
RV,42,25852
Tent,35,25917
RV,35,25917
Tent,35,25503
RV,35,25503
Tent,42,25849
RV,42,25849
Tent,30,25362
RV,30,25362
Tent,30,25874
RV,30,25874
Tent,30,25504
RV,30,25504
Tent,35,25571
RV,35,25571
Tent,42,25386
RV,42,25386
RV,20,45223
Trailer,32,45824
RV,32,45824
Tent,0,45990
Trailer,30,45503
Tent,30,45503
RV,30,45503
RV,45,45751
Trailer,35,45920
Tent,0,45486
RV,50,45148
RV,25,45165
Tent,0,45625
RV,30,45993
RV,30,45911
RV,30,45477
Tent,0,45014
RV,25,45804
Tent,0,45685
RV,20,45548
RV,20,45465
RV,40,45979
RV,30,45187
RV,25,45440
RV,30,45153
Tent,0,45081
RV,40,45656
Tent,0,45009
Trailer,35,45447
RV,35,45447
RV,40,45135
RV,40,45036
RV,25,45619
RV,30,45345
RV,25,45232
Tent,0,45943
Trailer,25,98386
Tent,25,98386
RV,25,98386
Trailer,38,98468
Tent,38,98468
RV,38,98468
Trailer,25,98519
Tent,25,98519
RV,25,98519
RV,30,98518
Trailer,30,98518
Trailer,25,98480
Tent,25,98480
RV,25,98480
Trailer,32,98384
Tent,32,98384
RV,32,98384
Trailer,28,98470
Tent,28,98470
RV,28,98470
